<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
XAUAUD,20070711,00:00:00,770.4556,764.8217,775.5506,765.5580
XAUAUD,20070712,00:00:00,765.4421,765.4421,774.4588,770.1720
XAUAUD,20070713,00:00:00,769.7369,763.5882,769.9931,766.9121
XAUAUD,20070716,00:00:00,767.1075,761.0142,767.1075,763.2817
XAUAUD,20070717,00:00:00,762.8500,758.0055,764.3283,761.1136
XAUAUD,20070718,00:00:00,761.5773,758.4359,768.0119,766.5831
XAUAUD,20070719,00:00:00,766.6704,763.4959,771.1228,769.6329
XAUAUD,20070720,00:00:00,769.6329,766.4018,781.7891,776.7034
XAUAUD,20070723,00:00:00,777.1208,770.0147,778.0305,771.7589
XAUAUD,20070724,00:00:00,771.5839,769.7257,776.2563,773.3000
XAUAUD,20070725,00:00:00,773.0987,760.1723,773.9220,763.7680
XAUAUD,20070726,00:00:00,763.7947,750.7706,765.8249,761.7075
XAUAUD,20070727,00:00:00,763.3306,756.7444,776.1352,774.8446
XAUAUD,20070730,00:00:00,778.7861,773.5473,781.3904,774.4755
XAUAUD,20070731,00:00:00,774.1522,772.3841,780.7028,780.2353
XAUAUD,20070801,00:00:00,780.5768,774.4616,784.0142,778.2060
XAUAUD,20070802,00:00:00,778.2320,772.2772,781.2059,775.0321
XAUAUD,20070803,00:00:00,775.4721,774.5692,788.6055,788.0028
XAUAUD,20070806,00:00:00,788.4187,780.6301,791.8377,782.1782
XAUAUD,20070807,00:00:00,782.4516,779.2147,788.8433,786.0067
XAUAUD,20070808,00:00:00,785.8898,780.4172,786.0067,782.1598
XAUAUD,20070809,00:00:00,782.1598,774.8360,785.3892,778.2619
XAUAUD,20070810,00:00:00,778.1703,777.0724,801.0192,796.3533
XAUAUD,20070813,00:00:00,794.5837,788.8484,796.7026,795.1277
XAUAUD,20070814,00:00:00,794.9388,794.2260,802.5195,802.0871
XAUAUD,20070815,00:00:00,802.4469,801.5588,815.5031,814.9053
XAUAUD,20070816,00:00:00,815.8248,813.5448,846.8618,820.6515
XAUAUD,20070817,00:00:00,820.5483,813.3015,844.3005,823.8024
XAUAUD,20070820,00:00:00,822.6675,813.8988,829.7846,815.2740
XAUAUD,20070821,00:00:00,815.5773,814.5212,824.5021,820.8844
XAUAUD,20070822,00:00:00,820.7818,815.6161,824.6142,816.8996
XAUAUD,20070823,00:00:00,817.0007,802.8735,817.4279,804.3425
XAUAUD,20070824,00:00:00,804.7590,799.7815,811.7790,808.4463
XAUAUD,20070827,00:00:00,807.4691,801.1076,807.8973,807.7016
XAUAUD,20070828,00:00:00,807.2639,805.2043,814.6371,814.2366
XAUAUD,20070829,00:00:00,814.3366,810.2527,822.2387,811.1395
XAUAUD,20070830,00:00:00,812.3706,811.8981,818.8531,815.6281
XAUAUD,20070831,00:00:00,814.7694,809.4429,829.3856,821.8040
XAUAUD,20070903,00:00:00,824.2216,816.0836,824.7119,816.8997
XAUAUD,20070904,00:00:00,817.0984,814.2771,830.0463,827.9922
XAUAUD,20070905,00:00:00,827.3478,821.7045,830.9102,829.0931
XAUAUD,20070906,00:00:00,828.9922,825.4563,842.9453,838.7642
XAUAUD,20070907,00:00:00,839.1262,835.9073,854.7466,846.8425
XAUAUD,20070910,00:00:00,847.7550,846.9178,859.5786,851.4299
XAUAUD,20070911,00:00:00,851.0664,848.4190,860.2099,854.2466
XAUAUD,20070912,00:00:00,854.2291,841.5842,854.4691,845.3767
XAUAUD,20070913,00:00:00,845.4772,836.8415,848.7887,847.9042
XAUAUD,20070914,00:00:00,848.4958,836.7808,853.8067,839.8052
XAUAUD,20070917,00:00:00,840.0665,838.8592,862.5872,861.5883
XAUAUD,20070918,00:00:00,861.3980,842.7058,865.7307,849.7768
XAUAUD,20070919,00:00:00,849.6594,841.3866,854.7019,842.7754
XAUAUD,20070920,00:00:00,842.5234,838.6050,853.9690,850.7999
XAUAUD,20070921,00:00:00,850.7999,840.3702,854.4252,845.0150
XAUAUD,20070924,00:00:00,842.4026,837.8347,848.5513,841.0139
XAUAUD,20070925,00:00:00,841.1710,836.4180,846.0023,836.5010
XAUAUD,20070926,00:00:00,836.5968,829.8675,841.8706,830.5569
XAUAUD,20070927,00:00:00,830.4427,827.2459,835.3998,834.7549
XAUAUD,20070928,00:00:00,834.6600,832.7104,844.7417,837.0153
XAUAUD,20071001,00:00:00,837.0863,832.6407,840.6190,835.4218
XAUAUD,20071002,00:00:00,835.4218,820.7825,837.6263,829.4952
XAUAUD,20071003,00:00:00,830.5527,818.0999,830.6662,825.0227
XAUAUD,20071004,00:00:00,825.3627,815.3428,831.7346,830.2546
XAUAUD,20071005,00:00:00,830.3672,817.1294,830.6861,826.6444
XAUAUD,20071008,00:00:00,825.0139,815.1448,825.0139,820.9925
XAUAUD,20071009,00:00:00,820.9925,812.9963,825.1951,819.2116
XAUAUD,20071010,00:00:00,819.2116,819.0095,829.0703,825.8251
XAUAUD,20071011,00:00:00,825.8251,824.1575,832.3572,829.9834
XAUAUD,20071012,00:00:00,829.7991,826.0148,833.9290,829.5870
XAUAUD,20071015,00:00:00,827.4644,825.8421,846.7634,843.0523
XAUAUD,20071016,00:00:00,842.7016,840.4812,862.1080,855.2306
